, where, what, value
0, Driver, kernel_time, 0.000000000000
1, Driver, total_time, 0.000092818000
2, GPU[0].CommandProcessor, kernel_time, 0.000000000000
3, GPU[1].CommandProcessor, kernel_time, 0.000000000000
4, GPU[2].CommandProcessor, kernel_time, 0.000000000000
5, GPU[3].CommandProcessor, kernel_time, 0.000000000000
6, GPU[5].CommandProcessor, kernel_time, 0.000000000000
7, GPU[6].CommandProcessor, kernel_time, 0.000000000000
8, GPU[7].CommandProcessor, kernel_time, 0.000000000000
9, GPU[8].CommandProcessor, kernel_time, 0.000000000000
10, IOMMUTLB, incoming_req_count, 971.000000000000
11, IOMMUTLB, req_to_mmu_count, 970.000000000000
12, IOMMUTLB, lookup_latency_cycles, 80.000000000000
13, MMU, coalescing_enabled, 0.000000000000
14, MMU, last_level_coalesced_reqs, 0.000000000000
15, MMU, two_level_coalesced_reqs, 0.000000000000
