benchmark,status,baseline_time_us,mechanism_time_us,speedup_pct,baseline_wg,mechanism_wg,baseline_max_wg_reached,mechanism_max_wg_reached,dram_trans_delta_pct,dram_bytes_delta_pct,dram_latency_delta_pct,l1v_latency_delta_pct,l2_latency_delta_pct,cpi_vmem_delta_pct,cpi_total_delta_pct,runtime_improvement_pct,dram_trans_improvement_pct,dram_bytes_improvement_pct,dram_latency_improvement_pct,l1v_latency_improvement_pct,l2_latency_improvement_pct,cpi_vmem_improvement_pct,cpi_total_improvement_pct,au_coalesce_pct,dir_avg_size,baseline_dram_read_mb,mechanism_dram_read_mb,baseline_dram_latency_ns,mechanism_dram_latency_ns,baseline_l2_dram_read_issued_mb,baseline_l2_dram_read_useful_mb,baseline_l2_dram_read_overfetch_pct,mechanism_l2_dram_read_issued_mb,mechanism_l2_dram_read_useful_mb,mechanism_l2_dram_read_overfetch_pct
aes,full_max_wg,687.763,687.739,0.0034896959457020316,78600.0,78600.0,1.0,1.0,-49.96532802073295,0.06934395853410713,-44.16967144994254,-5.494863993501831,-36.463710227994675,-68.45068429145569,-0.04205064020527116,0.0034896959457020316,49.96532802073295,-0.06934395853410713,44.16967144994254,5.494863993501831,36.463710227994675,68.45068429145569,0.04205064020527116,49.954099055547886,1.0025561372,107.521984,107.596544,76.21334085621034,42.550158598997406,,,,,,
bert,paired_short,131.94199999999998,131.326,0.4690617242587125,105.0,105.0,0.0,0.0,-46.857567869096314,6.284864261807366,-13.55193619157279,-3.171135302622563,-7.767529872073986,-3.149456938405204,-0.4676730978781851,0.4690617242587125,46.857567869096314,-6.284864261807366,13.55193619157279,3.171135302622563,7.767529872073986,3.149456938405204,0.4676730978781851,46.857567869096314,1.245496036512,0.172096,0.182912,39.40945035329118,34.0687067879636,,,,,,
bitonicsort,full_max_wg,9.415999999999999,9.267,1.6078558325240078,78600.0,78600.0,1.0,1.0,-50.69450200712856,-1.3890040142571225,-40.34975129306835,-23.788277196327336,-24.876053011459355,2.2273951486530885,-0.17824479940129478,1.6078558325240078,50.69450200712856,1.3890040142571225,40.34975129306835,23.788277196327336,24.876053011459355,-2.2273951486530885,0.17824479940129478,49.97847482152039,1.00082511588,43.237888,42.637312,59.82221905528775,35.6841024484846,,,,,,
conv2d-llm-decode-local,full_max_wg,91.348,61.994,47.34974352356678,78600.0,78600.0,1.0,1.0,-29.0271692618187,41.9456614763626,-32.42749884770991,-40.869706079862866,-34.41506357700772,-38.66791781077079,-32.27280436088991,47.34974352356678,29.0271692618187,-41.9456614763626,32.42749884770991,40.869706079862866,34.41506357700772,38.66791781077079,32.27280436088991,30.915572267570106,1.11100065049,20.041472,28.448,168.40972280838463,113.79866188526422,,,,,,
conv2d-llm-decode-pointwise,full_max_wg,93.663,67.885,37.973042645650736,78600.0,78600.0,1.0,1.0,-43.70509979575582,12.589800408488362,-39.959676554768905,-34.475030288973194,-40.521643257389265,-32.96945671130144,-28.380300255903023,37.973042645650736,43.70509979575582,-12.589800408488362,39.959676554768905,34.475030288973194,40.521643257389265,32.96945671130144,28.380300255903023,43.70583967699878,1.12425695415,24.347328,27.412608,167.61376533999908,100.6358468488661,,,,,,
conv2d-llm-prefill-local,full_max_wg,66.94099999999999,58.498000000000005,14.43297206742109,78600.0,78600.0,1.0,1.0,-9.05963177298137,81.88073645403726,-35.545888612095865,-49.03642574661416,-61.15425918614458,-60.66610284011249,-13.055648837229539,14.43297206742109,9.05963177298137,-81.88073645403726,35.545888612095865,49.03642574661416,61.15425918614458,60.66610284011249,13.055648837229539,9.166152215599613,1.022538596165,23.401216,42.562304,106.94012795779499,68.9273091922844,,,,,,
conv2d-llm-prefill-pointwise,full_max_wg,90.688,61.66199999999999,47.072751451461194,78600.0,78600.0,1.0,1.0,-37.931548506350246,24.136902987299514,-38.48027571876703,-33.661154888451335,-40.70376921645242,-35.76945599959937,-32.91666412234551,47.072751451461194,37.931548506350246,-24.136902987299514,38.48027571876703,33.661154888451335,40.70376921645242,35.76945599959937,32.91666412234551,37.86153726809999,1.035332300547,21.46688,26.64832,164.5845210214059,101.25194354195682,,,,,,
fastwalshtransform,full_max_wg,36.199999999999996,36.037,0.45231290062990315,78600.0,78600.0,1.0,1.0,-50.26602601924236,-0.5320520384847205,-54.58495321021072,-37.66672411484062,-36.63640396659418,,-0.025348326569862856,0.45231290062990315,50.26602601924236,0.5320520384847205,54.58495321021072,37.66672411484062,36.63640396659418,,0.025348326569862856,49.99336642564061,1.000342805395,173.011648,172.091136,80.11544479742766,36.38446674059957,,,,,,
fft,full_max_wg,210.39499999999998,209.784,0.2912519543911918,78600.0,78600.0,1.0,1.0,-49.83515342941921,0.32969314116158,-41.302724007333204,-40.516553267036024,-38.78393660728256,-59.52820234694444,0.663887048386913,0.2912519543911918,49.83515342941921,-0.32969314116158,41.302724007333204,40.516553267036024,38.78393660728256,59.52820234694444,-0.663887048386913,49.808901893469674,1.002807498388,251.579392,252.408832,178.87402704577656,104.99418133425691,,,,,,
fir,full_max_wg,219.032,219.07,-0.017346053772770986,78600.0,78600.0,1.0,1.0,-45.22378313332032,9.552433733359367,-38.25584771397155,-6.135199115483758,-21.23582254773424,,0.009144464583799028,-0.017346053772770986,45.22378313332032,-9.552433733359367,38.25584771397155,6.135199115483758,21.23582254773424,,-0.009144464583799028,45.15286641477977,1.0004891606,89.775488,98.351232,55.42258803044318,34.22020715437501,,,,,,
