benchmark,mechanism,paths,network,l1_cache,l2_cache,dram,local_data_path,other_data_path,total_avg_cycles
matrixtranspose,baseline,50000,1210.36498,443.8304,15.0,70.06608,0.04736,0.0,1739.3088200000002
matrixtranspose,m1_m2,50000,288.98731999999995,437.91704,14.5,20.28392,1.02368,0.0,762.71196
pagerank,baseline,50000,1221.87224,387.07686,14.32388,12.85728,0.11513999999999999,0.0,1636.2453999999998
pagerank,m1_m2,50000,414.23086000000006,414.39646,15.859919999999999,10.258619999999999,1.05586,0.0,855.80172
im2col,baseline,50000,820.2667199999997,293.18555999999995,22.26868,25.88624,0.1174,0.0,1161.7245999999998
im2col,m1_m2,50000,528.75432,293.3782,19.26932,15.2281,0.42952,0.0,857.0594600000001
fft,baseline,50000,0.0,543.17412,135.9051,259.57761999999997,113.42442,0.0,1052.0812600000002
fft,m1_m2,50000,0.0,176.53842,44.66466,61.14138,7.112439999999999,0.0,289.4569
matrixmultiplication,baseline,50000,691.36864,347.86406,2.72476,0.023340000000000003,0.07814,0.0,1042.0589400000001
matrixmultiplication,m1_m2,50000,27.63428,99.53979999999999,0.28128000000000003,0.0,0.0754,0.0,127.53075999999999
aes,baseline,50000,0.0,349.73629999999997,73.51334,244.10786,17.60416,0.0,684.9616599999999
aes,m1_m2,50000,0.0,144.33196,23.81064,57.710480000000004,2.34682,0.0,228.19990000000004
kmeans,baseline,50000,0.0,301.63814,36.664559999999994,259.90528,2.0683,0.0,600.27628
kmeans,m1_m2,50000,0.0,301.63814,36.664559999999994,259.90528,2.0683,0.0,600.27628
spmv,baseline,50000,371.77182000000005,162.49014,11.205,38.3138,0.36102,0.0,584.1417800000002
spmv,m1_m2,50000,70.65474,153.64229999999998,10.7253,17.55546,0.77694,0.0,253.35474
floydwarshall,baseline,50000,40.33404000000001,56.31364,19.573179999999997,13.6952,1.18716,0.0,131.10322000000002
floydwarshall,m1_m2,50000,5.126219999999999,52.1271,16.44902,7.837160000000001,1.2760799999999999,0.0,82.81557999999998
relu,baseline,50000,0.0,49.44064,13.9952,30.94784,2.0,0.0,96.38368
relu,m1_m2,50000,0.0,37.94784,13.75492,9.970640000000001,2.0,0.0,63.6734
fastwalshtransform,baseline,50000,0.0,41.16854,11.393040000000001,13.870759999999999,1.70774,0.0,68.14008
fastwalshtransform,m1_m2,50000,0.0,34.699740000000006,12.19526,1.797,1.8649200000000001,0.0,50.55692
bitonicsort,baseline,50000,0.0,35.18902,11.520299999999999,10.45858,1.68588,0.0,58.85377999999999
bitonicsort,m1_m2,50000,0.0,32.6011,11.58106,2.4324800000000004,1.81944,0.0,48.43408
simpleconvolution,baseline,50000,0.0,26.6369,5.5008,12.38256,0.61912,0.0,45.13938
simpleconvolution,m1_m2,50000,0.0,20.57758,3.9785,3.9401600000000006,0.49844,0.0,28.99468
fir,baseline,50000,0.0,26.57756,5.16388,11.52396,0.73448,0.0,43.99988
fir,m1_m2,50000,0.0,21.253619999999998,4.63148,3.6304000000000003,0.67404,0.0,30.18954
