benchmark,mechanism,total,L1V,Local L2,Local DRAM,Network,Remote L2,Remote DRAM,Other
rodinia_bfs,Baseline,17.093,12.999,1.042,1.919,0.000,0.000,0.000,1.134
rodinia_bfs,M1+M2+M3,18.064,12.900,1.615,2.375,0.000,0.000,0.000,1.174
simpleconvolution,Baseline,84.821,8.947,1.232,2.195,51.137,3.608,8.617,9.085
simpleconvolution,M1+M2+M3,91.081,8.871,1.024,1.909,18.940,6.837,3.215,58.157
fir,Baseline,169.568,46.257,1.757,1.302,100.813,6.321,10.791,2.327
fir,M1+M2+M3,127.409,8.787,1.022,0.922,21.459,2.004,2.040,93.231
relu,Baseline,305.404,111.571,4.358,9.331,149.113,10.072,18.183,2.777
relu,M1+M2+M3,268.841,1.299,3.489,6.732,134.920,18.022,17.170,111.323
floydwarshall,Baseline,366.711,311.840,18.174,11.773,14.387,0.537,0.000,10.592
floydwarshall,M1+M2+M3,296.792,241.502,18.292,12.177,10.719,0.853,0.000,14.472
nw,Baseline,460.462,170.430,1.656,4.372,225.939,16.645,42.445,2.776
nw,M1+M2+M3,414.584,8.415,1.380,3.675,166.585,20.620,34.060,183.890
aes,Baseline,787.394,408.544,16.820,26.022,262.625,23.493,42.540,7.350
aes,M1+M2+M3,1124.258,194.984,31.926,19.329,101.343,32.704,23.025,730.508
stencil2d,Baseline,806.578,264.756,0.422,1.519,461.727,16.203,58.930,3.021
stencil2d,M1+M2+M3,725.297,1.074,0.491,1.026,178.574,11.488,26.177,528.656
kmeans,Baseline,1456.160,41.094,2.475,4.141,1290.757,44.492,65.820,7.382
kmeans,M1+M2+M3,3652.482,36.380,7.206,4.606,136.306,94.503,129.163,3274.821
fft,Baseline,1553.365,117.011,7.831,15.623,1296.928,30.324,68.340,17.307
fft,M1+M2+M3,1187.264,43.545,5.441,6.138,130.372,32.022,25.438,945.101
atax,Baseline,7768.144,6577.682,1.694,5.175,336.843,13.169,33.900,801.303
atax,M1+M2+M3,6675.854,65.295,0.981,3.345,435.801,365.359,673.902,5132.281
bicg,Baseline,7801.349,6606.134,1.668,5.045,338.024,13.196,33.928,803.354
bicg,M1+M2+M3,6648.329,60.298,0.959,3.185,435.593,365.866,674.946,5108.995
im2col,Baseline,13692.135,11499.574,0.600,0.822,1929.238,15.747,25.897,220.256
im2col,M1+M2+M3,8324.464,2.166,0.647,0.818,2284.484,17.183,23.126,5997.048
spmv,Baseline,139289.604,63655.784,2.451,4.094,49907.918,19.904,35.864,25663.591
spmv,M1+M2+M3,309503.462,56.085,5.567,4.548,71.838,34.067,19.771,309311.587
