benchmark,baseline_us,m1_m2_m3_us,speedup,improvement_pct
aes,4.691,6.182,0.7588,-24.12
atax,337.560,207.715,1.6251,62.51
bicg,338.032,206.626,1.6360,63.60
bitonicsort,,8.031,,
fastwalshtransform,,9.763,,
fft,5.866,5.928,0.9895,-1.05
fir,5.766,5.034,1.1454,14.54
floydwarshall,4.613,4.828,0.9555,-4.45
im2col,79.210,38.560,2.0542,105.42
kmeans,13.735,64.909,0.2116,-78.84
matrixmultiplication,,4.688,,
matrixtranspose,,8.400,,
nw,2232.463,2224.402,1.0036,0.36
pagerank,,80.918,,
relu,6.402,4.322,1.4813,48.13
rodinia_bfs,47.990,57.190,0.8391,-16.09
simpleconvolution,6.013,6.169,0.9747,-2.53
spmv,603.664,678.418,0.8898,-11.02
stencil2d,12.205,9.761,1.2504,25.04
